Tweets,len,ID,Date,Source,Likes,RTs
"चाहे स्वच्छ भारत मिशन हो या मुद्रा, उज्जवला हो या प्रधानमंत्री आवास योजना, राजस्थान के गरीब से गरीब तबकों को विकास… https://t.co/CrkJnDRuaq",139,1015582475609870339,2018-07-07 13:05:05,Media Studio,24886,4732
सॉइल हेल्थ कार्ड की योजना राजस्थान से ही शुरू हुई थी। आज ये भी बहुत सुखद संयोग है कि जब सरकार ने फसलों के न्यूनतम स… https://t.co/dODWYVmCaL,140,1015582063481774081,2018-07-07 13:03:27,Media Studio,11076,2735
"4 वर्ष पहले राजस्थान की स्थिति क्या थी, सब जानते हैं। निरंतर प्रयासों के बाद राजस्थान के विकास को गति मिली है। कें… https://t.co/QfgON3hFde",139,1015581988487655424,2018-07-07 13:03:09,Media Studio,10868,2496
"राजस्थान शक्ति, शौर्य और भक्ति की भूमि है। मैं राजस्थान के लोगों को उनके स्नेह के लिए धन्यवाद देता हूँ। https://t.co/kO4IXARiD9",127,1015581778336239618,2018-07-07 13:02:19,Media Studio,13928,3135
"Today's programme in Jaipur was special! 

Had the opportunity to interact with several beneficiaries of various sc… https://t.co/wTzVGavnbg",140,1015581594172772352,2018-07-07 13:01:35,Twitter Web Client,10373,2561
"Happy to have met my friend, PM @tsheringtobgay in New Delhi. We had extensive discussions on further increasing In… https://t.co/IPheVccWTd",140,1015227991478038528,2018-07-06 13:36:29,Twitter Web Client,11354,2209
"This morning, I addressed the Saurashtra Patel Cultural Samaj via video conferencing. Delighted to have connected w… https://t.co/YQWmOo2v6r",140,1015227109663338496,2018-07-06 13:32:59,Twitter Web Client,11854,2443
"Wonderfully written by @arunjaitley Ji, highlighting Dr. Syama Prasad Mookerjee's commitment towards a strong and u… https://t.co/dwyv0wqYG8",140,1015225867646013440,2018-07-06 13:28:03,Twitter Web Client,14078,3565
Sharing a picture of Dr. Syama Prasad Mookerjee with Dr. Babasaheb Ambedkar. Both were Ministerial colleagues and h… https://t.co/IAAqymm1z0,140,1015052839855542274,2018-07-06 02:00:30,Twitter Web Client,30722,6621
"On his Jayanti, I bow to Dr. Syama Prasad Mookerjee . 

Dr. Mookerjee is remembered as a fine educationist, a wonde… https://t.co/T7yQWyoOlG",140,1015051799739359233,2018-07-06 01:56:22,Media Studio,18316,4483
"Shared my message at the 4th edition of ‘Samvad.' The symposium, which is being held in Tokyo, has chosen the impor… https://t.co/uK2GwVuhfa",140,1014876838299144194,2018-07-05 14:21:08,Media Studio,12973,2917
"Birthday greetings to my valued colleague and one of India’s senior most leaders, Shri Ram Vilas Paswan Ji. A true… https://t.co/QWuBREKN15",139,1014701594041085953,2018-07-05 02:44:46,Twitter for iPhone,18881,3063
"A promise fulfilled!

We are honoured and humbled that we had the opportunity to take a decision on the historic in… https://t.co/b5io3aG5fs",140,1014517413776199681,2018-07-04 14:32:54,Twitter Web Client,19307,5109
Strengthening India’s higher education sector. https://t.co/bXYsZAboIx,70,1014517151854575617,2018-07-04 14:31:52,Twitter Web Client,10215,2136
Congratulations to the people of Tripura! Their long pending demand was fulfilled today. https://t.co/P1ebzWl7zU,112,1014517090261168128,2018-07-04 14:31:37,Twitter Web Client,11888,2790
Great interaction with young IAS officers who have recently been appointed Assistant Secretaries in the Government… https://t.co/UewAES5iwg,139,1014516811541372928,2018-07-04 14:30:31,Twitter Web Client,6097,1603
"मिट्टी के स्वास्थ्य से लेकर सिंचाई तक, आसानी से ऋण उपलब्ध कराने से लेकर फसल बीमा तक, हमारी सरकार कृषि क्षेत्र में ब… https://t.co/SbiJ1JY7YW",140,1014516392417062912,2018-07-04 14:28:51,Twitter Web Client,8360,2127
We are leaving no stone unturned to ensure the wellbeing of our farmers. https://t.co/qLbd71Z7Vm,96,1014516295583191040,2018-07-04 14:28:28,Twitter Web Client,5103,1327
"Well said. I fully agree that when India’s farmer prospers, the nation prospers. https://t.co/ohTd8ylCvZ",104,1014516115790163968,2018-07-04 14:27:45,Twitter Web Client,5699,1374
"कृषि क्षेत्र के विकास और किसान कल्याण के लिए जो भी पहल जरूरी हैं, सरकार उसके लिए प्रतिबद्ध है। हम इस दिशा में लगाता… https://t.co/mDoHugq8dC",140,1014436056257744897,2018-07-04 09:09:37,Twitter for iPhone,23672,5241
"मुझे अत्यंत खुशी हो रही है कि किसान भाइयों-बहनों को सरकार ने लागत के 1.5 गुना MSP देने का जो वादा किया था, आज उसे… https://t.co/WHTpSGhWVW",138,1014435806700867585,2018-07-04 09:08:38,Twitter for iPhone,43527,10965
"Immensely proud of our scientists, who created history by discovering a sub-Saturn size planet 600 light years away… https://t.co/J9ZqAPj857",140,1014167536122974209,2018-07-03 15:22:37,Twitter for iPhone,29034,7437
"In the 2nd part of my interview with @SwarajyaMag, I answered questions on the 2019 polls, role of NDA, situation i… https://t.co/Q5GouClAvf",140,1014052896969838592,2018-07-03 07:47:05,Twitter Web Client,16697,4250
"I spoke to @SwarajyaMag on various issues relating to the Indian economy, GST, jobs, doubling farmer incomes, priva… https://t.co/1MYxuKiv8b",140,1013757380301950976,2018-07-02 12:12:48,Twitter Web Client,18805,5270
My warmest congratulations to Sr. Andrés Manuel @lopezobrador_ on his victory in Presidential elections in Mexico.… https://t.co/mg8yP0yP3m,139,1013757144066240512,2018-07-02 12:11:52,Twitter Web Client,11028,2183
We strongly condemn the terror attacks in Afghanistan yesterday. They are an attack on Afghanistan's multicultural… https://t.co/5vY7VXU4Ga,139,1013610293514170369,2018-07-02 02:28:20,Twitter for iPhone,24034,4742
RT @arunjaitley: THE GST EXPERIENCE https://t.co/VY5eNavDq8,59,1013433818789933056,2018-07-01 14:47:05,Twitter for Android,0,1417
"Chaitali Chauhan shared with me her artwork which is inspired by the Madhubani style, depicting various postures wh… https://t.co/R5gjpMVX9Y",140,1013372345065594880,2018-07-01 10:42:49,Twitter Web Client,19004,3913
I was going through some letters written to me and I saw many letters from the people of Dadra and Nagar Haveli as… https://t.co/WzQUtL5ieX,139,1013371734970560512,2018-07-01 10:40:23,Twitter Web Client,15420,3691
"RT @SwarajyaMag: In the first part of an exclusive interview to Swarajya, the Prime Minister answers key questions on the GST, which comple…",140,1013313617503182853,2018-07-01 06:49:27,Twitter Web Client,0,1961
"GST has brought growth, simplicity and transparency. It is:

Boosting formalisation.

Enhancing productivity.

Furt… https://t.co/JKO1Zlkm4P",140,1013247935201579008,2018-07-01 02:28:27,Twitter Web Client,12515,3794
"I congratulate the people of India on the special occasion of GST completing 1 year. 

A vibrant example of coopera… https://t.co/wzKFGl6EB1",140,1013247281229910016,2018-07-01 02:25:51,Twitter Web Client,12056,3237
"On Doctors' Day, greetings to all hardworking Doctors. Theirs is one of the noblest professions of humanity. It is… https://t.co/kd0MuDrvcm",139,1013246798016770049,2018-07-01 02:23:56,Twitter Web Client,7953,2139
I convey my best wishes to the community of Chartered Accountants on CA Day. Widely recognised for their work and e… https://t.co/fiSP8lyFMu,140,1013246400019206144,2018-07-01 02:22:21,Twitter Web Client,17658,4069
Warm birthday greetings to Vice President @MVenkaiahNaidu Garu. Venkaiah Ji has an exceptional record of public ser… https://t.co/4j9WPUQnGo,140,1013245971533361152,2018-07-01 02:20:39,Twitter Web Client,8162,1824
Congratulations to the wonderful citizens of Mumbai on the inclusion of the Victorian Gothic and Art Deco Ensemble… https://t.co/NTxoMq7CAm,139,1013069251530326016,2018-06-30 14:38:26,Twitter Web Client,10141,2438
RT @IndiaatUNESCO: The 42nd #WorldHeritage Committee of #UNESCO underway in #Manama #Bahrain inscribed #VitorianGothic and #Artdeco Ensembl…,140,1013069122953973765,2018-06-30 14:37:55,Twitter Web Client,0,1036
I would particularly like to congratulate my young friends for their innovative usage of social media. Their frank… https://t.co/yxthRU0klY,139,1012961124248104960,2018-06-30 07:28:46,Twitter Web Client,14656,4505
Greetings on #SocialMediaDay! The world of social media has played a key role in democratising our discourse and gi… https://t.co/H739lIa8bm,140,1012961121039417344,2018-06-30 07:28:45,Twitter Web Client,13906,3617
"Delighted to meet these young members belonging to the team of Mission Shaurya. 

Students from this group successf… https://t.co/7JwHG4YuIV",140,1012734058789572609,2018-06-29 16:26:29,Twitter Web Client,9705,2083
An unparalleled focus on top quality and affordable healthcare. https://t.co/O2fPGZBeSr,87,1012733025828921349,2018-06-29 16:22:23,Media Studio,8544,2029
"Regarding the health sector, our endeavour is to strengthen existing infrastructure and create better healthcare fa… https://t.co/8dr2kXpje1",140,1012732848481153024,2018-06-29 16:21:41,Media Studio,6848,1836
"Earlier today at AIIMS, dedicated key projects to the nation and laid the foundation stone for various initiatives… https://t.co/KotJKRDQ0u",139,1012732734631038976,2018-06-29 16:21:14,Media Studio,6895,1822
"मैंने किसानों से आग्रह किया कि वे टपक सिंचाई, सोलर पंप, और नवीनतम कृषि तकनीक का उपयोग करें एवं अपने खेतों में सोलर… https://t.co/RkWq8RrO0y",139,1012729562239823872,2018-06-29 16:08:37,Twitter Web Client,23704,4926
गन्ना किसानों को यह बताते हुए काफी ख़ुशी हुई कि कैबिनेट की अगली बैठक में आने वाले खरीफ सीजन के अधिसूचित फसलों के लि… https://t.co/sXRfCYtMLk,140,1012729425211936770,2018-06-29 16:08:05,Twitter Web Client,25627,5265
आज देश के अलग-अलग हिस्सों के गन्ना किसानों से मिलकर अत्यंत खुशी हुई। MSP से लेकर किसानों की आय बढ़ाने एवं कृषि संबं… https://t.co/ElVyKCVbfw,140,1012729211956727809,2018-06-29 16:07:14,Twitter Web Client,9962,2559
Here is my speech during today's public meeting at Maghar. https://t.co/PKatbVrJta https://t.co/O50L3vMZjM,106,1012326183457787904,2018-06-28 13:25:44,Twitter Web Client,7260,1803
"संत कबीरदास जी के विचारों से प्रेरित होकर, केंद्र और यूपी सरकार मिलकर गरीब, दलित, शोषित, वंचित को सशक्त करने की राह… https://t.co/VAt7nXhTTI",140,1012325375039365121,2018-06-28 13:22:32,Media Studio,11233,2473
"कुछ राजनीतिक दल, जिन्होंने संत कबीरदास जी को गंभीरता से नहीं पढ़ा वो समाज में शांति और विकास नहीं, कलह और अशांति का… https://t.co/1Si2eFxY1L",140,1012325140682555392,2018-06-28 13:21:36,Media Studio,19806,4607
"कबीर की साधना ‘मानने’ से नहीं, ‘जानने’ से आरम्भ होती है। 

वे धूल से उठे थे, लेकिन माथे का चन्दन बन गए। 

वे व्यक्… https://t.co/Sr6dQYSGrf",139,1012324799958282242,2018-06-28 13:20:15,Media Studio,13158,3172
"मगहर में आज संत कबीर अकादमी की आधारशिला रखी। 

इस अकादमी की स्थापना से अधिक से अधिक लोगों को संत कबीरदास जी के महान… https://t.co/ILiupl3nyV",140,1012324622740516864,2018-06-28 13:19:32,Media Studio,7577,1892
आज बरसों की कामना पूरी हुई। उत्तर प्रदेश के मगहर में संत कबीरदास जी की समाधि पर फूल चढ़ाने और उनकी मजार पर चादर च… https://t.co/azAu5ZPLNu,138,1012324425285361664,2018-06-28 13:18:45,Media Studio,8152,1876
Sharing some glimpses from the public meeting at Maghar in Uttar Pradesh's Sant Kabir Nagar District. https://t.co/KY60f06EZi,125,1012324217147125765,2018-06-28 13:17:56,Twitter Web Client,8794,2098
"The ideals of Sant Kabir Das Ji, his emphasis on social equality, brotherhood and justice inspire every Indian. 

T… https://t.co/N25bdXbInu",140,1012323623816740864,2018-06-28 13:15:34,Twitter Web Client,7627,1918
Remembering our former PM Shri PV Narasimha Rao on his birth anniversary.  Shri Rao is widely respected as a states… https://t.co/D7lZenNG66,140,1012151980519776263,2018-06-28 01:53:31,Twitter for Android,28983,6443
"Over the last four years, we have worked round the clock towards banking the unbanked, funding the unfunded and fin… https://t.co/3wnETUwcC1",140,1011961521843458053,2018-06-27 13:16:42,Twitter Web Client,19595,4489
"You would be delighted to know that due to the Pradhan Mantri Jeevan Jyoti Bima Yojana, Pradhan Mantri Suraksha Bim… https://t.co/IDY9uz0nA7",140,1011961198252658690,2018-06-27 13:15:25,Media Studio,9990,2797
Our Government is fully committed towards ensuring a happy and hassle free life for our valued senior citizens. https://t.co/9kEQHez2zw,135,1011961070792028160,2018-06-27 13:14:55,Media Studio,6929,1740
Had a satisfying interaction with beneficiaries of various social security schemes. I am glad that through these sc… https://t.co/QavUevy5zm,140,1011960868853051392,2018-06-27 13:14:07,Twitter Web Client,6868,1786
I am happy that the efforts towards electrifying every household in India are moving at the desired pace and we wil… https://t.co/cvwAMf6y0w,140,1011960311367135232,2018-06-27 13:11:54,Twitter Web Client,5193,1312
"At the Pragati session, aspects relating to the scheme to establish new medical colleges were reviewed. This is a p… https://t.co/ONifyrvBq9",140,1011960309471326209,2018-06-27 13:11:53,Twitter Web Client,4468,1094
Sharing the highlights from today’s Pragati interaction. https://t.co/framd0jyF2,80,1011960306673676289,2018-06-27 13:11:53,Twitter Web Client,6747,1481
The interaction with beneficiaries of the Government’s social security schemes commences at 9:30 AM. Do join via th… https://t.co/K6FSZ43RfN,140,1011815549028872192,2018-06-27 03:36:40,Twitter for iPhone,11453,2449
"In Mumbai earlier today, interacted with leading businesspersons. We had comprehensive discussions on matters relat… https://t.co/NjPHM1V0Dn",140,1011638288619327488,2018-06-26 15:52:17,Twitter for iPhone,8894,2063
देश में जब-जब एक परिवार की कुर्सी पर संकट आता है तो वे चिल्लाना शुरू कर देते हैं कि लोकतंत्र खतरे में आ गया है। यह… https://t.co/uq8Cli4KNj,139,1011621224626118656,2018-06-26 14:44:29,Media Studio,22652,6230
"किशोर कुमार के गाने हों या आंधी जैसी फिल्म, आपातकाल में हर प्रकार की अभिव्यक्ति पर पाबंदी लगा दी गई थी। https://t.co/xGUhjDDL4n",127,1011620608902234113,2018-06-26 14:42:02,Media Studio,11755,3458
लोकतंत्र को कुचल देने वाले आज संविधान खत्म होने का झूठा भय फैलाने में लगे हैं! https://t.co/lN4hJf1frV,102,1011613003785990144,2018-06-26 14:11:49,Media Studio,14063,3982
"हमारे इलेक्शन कमीशन को दुनिया भर में सराहा जाता है, लेकिन देश भर में नकार दिए जाने के बाद कांग्रेस इलेक्शन कमीशन पर… https://t.co/n4yclpPpvI",140,1011612185020076033,2018-06-26 14:08:34,Media Studio,11464,3127
"आपातकाल के समय कांग्रेस की जो मानसिकता थी, वही आज भी है.. 

महाभियोग प्रस्ताव इसी मानसिकता का प्रतीक है। https://t.co/ahlx7TH2du",128,1011611138297982978,2018-06-26 14:04:24,Media Studio,19418,5285
"Many call the 21st century the Asian Century. Our continent is at the Centre of global economic activity. 

India w… https://t.co/eFohDfvgAp",140,1011527132747522048,2018-06-26 08:30:36,Media Studio,7234,1917
"India is among the most investor friendly global economies. 

Our country offers:

Growth. 

Macro-economic stabili… https://t.co/9aZoQXrmAH",140,1011526409758502913,2018-06-26 08:27:43,Media Studio,11530,3287
"The Government of India has taken numerous steps to further ‘Ease of Doing Business.’ 

FDI regime is liberalised.… https://t.co/5I8P3loKqg",139,1011525238117449729,2018-06-26 08:23:04,Media Studio,7109,1959
Here is my complete speech at the 3rd Annual Meeting of the Asian Infrastructure Investment Bank on the theme ‘Mobi… https://t.co/cCOCxqA9wo,140,1011524576503721984,2018-06-26 08:20:26,Twitter Web Client,7117,1890
"Leaving for Mumbai, where I will be attending various programmes. Looking forward. 
https://t.co/DegUQWhZKC

via NaMo App",121,1011432343742054401,2018-06-26 02:13:56,Twitter for Android,9935,1974
"Let us always work to make our democratic ethos stronger. Writing, debating, deliberating, questioning are vital as… https://t.co/rYvi1pzCgz",140,1011421154295402496,2018-06-26 01:29:29,Twitter for Android,16069,3974
India remembers the Emergency as a dark period during which every institution was subverted and an atmosphere of fe… https://t.co/cTv0bMsJ2k,140,1011420076816429056,2018-06-26 01:25:12,Twitter for Android,21523,5482
"I salute the courage of all those great women and men who steadfastly resisted the Emergency, which was imposed 43… https://t.co/FY0qEEgTqY",139,1011419866195283968,2018-06-26 01:24:22,Twitter for Android,13535,3579
Tomorrow at 9:30 AM I will interact with beneficiaries of various social security schemes of the Government of Indi… https://t.co/0dsugl7YRS,140,1011418848569057286,2018-06-26 01:20:19,Twitter for Android,6600,1657
"Birthday wishes to Shri @dpradhanbjp, who is energetically working towards transforming the petroleum and skill dev… https://t.co/1vzIeJSzre",140,1011418641617838082,2018-06-26 01:19:30,Twitter for Android,4952,1149
"Glad that you shared your views Priya. 

I invite you all to express your opinions in the #PeoplesPulse section of… https://t.co/jRkktVCOZx",139,1011418040133701633,2018-06-26 01:17:06,Twitter for Android,4578,1296
"RT @Prarthanasing16: #NamoApp अपनी आवाज़ को सही जगह पहुँचाने का एक अवसर है|
#PeoplesPulse में भाग लें!
इस लिंक से #NaMoApp डाउनलोड करें htt…",140,1011416897332576257,2018-06-26 01:12:34,Twitter for iPhone,0,706
RT @chengalath: #NAMOAPP #peoplespulse വഴി ശ്രീ @narendramodi അദ്ദേഹത്തിന്റെ സർക്കാരിനെ വിലയിരുത്താൻ നമ്മളോട് ആവശ്യപ്പെടുന്നു. പ്രാദേശികമായ…,140,1011416840281755648,2018-06-26 01:12:20,Twitter for iPhone,0,379
"Delighted to meet His Highness Sheikh Abdullah bin Zayed Al Nahyan, Minister of Foreign Affairs and International C… https://t.co/4mzalQOlVG",140,1011286542927589376,2018-06-25 16:34:35,Twitter Web Client,9564,1586
President Danny Antoine Rollen Faure and I had productive discussions on deepening partnership between India and Se… https://t.co/tepSjq5Bx5,140,1011285986620235777,2018-06-25 16:32:22,Twitter Web Client,7123,1594
"Shri @arunjaitley writes about the dark days of the Emergency, the trampling of personal liberties, excesses commit… https://t.co/YR8bL6TI4N",140,1011209508528447488,2018-06-25 11:28:28,Twitter Web Client,18074,5510
"A proud moment for Bahadurgarh, the Gateway to Haryana, as this vibrant town comes on Delhi’s Metro Map. This will… https://t.co/49GXesfgym",139,1010915511889203202,2018-06-24 16:00:14,Twitter Web Client,17469,3270
A caller asked me about my upcoming visit to Maghar in Uttar Pradesh’s Sant Kabir Nagar district and about the nobl… https://t.co/av7qHZncmJ,140,1010840218235232256,2018-06-24 11:01:03,Twitter Web Client,8058,1833
Next year we mark the 550th Prakash Utsav of the venerable Guru Nanak Dev Ji. I urge you all to share ideas on how… https://t.co/L463XKGwV2,139,1010839920016089088,2018-06-24 10:59:52,Twitter Web Client,7165,1825
"A profound thinker, educationist, administrator and a prolific Parliamentarian, Dr. Syama Prasad Mookerjee motivate… https://t.co/lbLJTfQLof",140,1010839417014116352,2018-06-24 10:57:52,Twitter Web Client,6415,1709
"I applaud these youngsters from Bengaluru, who are helping farmers and ensuring greater prosperity for them.… https://t.co/vUiOILVHSf",133,1010839157651001344,2018-06-24 10:56:50,Twitter Web Client,5285,1341
"On 1st July, we mark one year of the GST. 

Among biggest tax reforms in the world, GST has shown the benefits of ‘… https://t.co/pG22gciPbf",140,1010839000368762881,2018-06-24 10:56:12,Twitter Web Client,8881,2201
"The fraternity of doctors is special. During #MannKiBaat, I conveyed greetings for Doctor's Day. 

Doctors from Ind… https://t.co/pLgpg33w5y",140,1010838735842369537,2018-06-24 10:55:09,Twitter Web Client,4919,1349
"The #4thYogaDay was marked with utmost fervour and enthusiasm in several parts of the world. 

Yoga is bringing a w… https://t.co/3HSM2ptvuw",140,1010838198912737280,2018-06-24 10:53:01,Twitter Web Client,5211,1330
A test match in Bengaluru drew the attention of the entire cricketing world. The match between India and Afghanista… https://t.co/ar9eB00y5T,140,1010837865125826561,2018-06-24 10:51:42,Twitter Web Client,6765,1458
Sharing the highlights of today’s #MannKiBaat. https://t.co/aihHMwr4u3,70,1010837593666260992,2018-06-24 10:50:37,Twitter Web Client,4208,1129
Tune in tomorrow morning. #MannKiBaat https://t.co/38EAi2JfKv,61,1010547712272498691,2018-06-23 15:38:44,Twitter for Android,12122,2507
"When we say 'Ease of Living', it is about:

Good quality and affordable healthcare.

Proper education facilities.… https://t.co/tMxgN13HIl",138,1010519893232402435,2018-06-23 13:48:11,Media Studio,14680,3434
A home is about dignity and happiness. I congratulate my sisters and brothers of Madhya Pradesh who have got their… https://t.co/RI7M6EBy0d,139,1010519318403018752,2018-06-23 13:45:54,Media Studio,8177,2144
"We see urbanisation as an opportunity instead of a challenge. Through the Smart Cities Mission, futuristic urban ce… https://t.co/3cIDKOIzQp",140,1010519067059372037,2018-06-23 13:44:54,Media Studio,5404,1457
Swachh Bharat Abhiyan has brought every Indian together. It has become a people's movement and there has been remar… https://t.co/GyvGppKppL,140,1010518541450166272,2018-06-23 13:42:49,Media Studio,6805,1847
Delighted to be in Indore! I congratulate the citizens of Indore for getting the 1st position in Swachh Survekshan.… https://t.co/8BRPbNYS37,140,1010518098514833408,2018-06-23 13:41:03,Media Studio,7056,1933
